frame,active_tracks
1080,6
1081,5
1082,5
1083,6
1084,6
1085,6
1086,6
1087,5
1088,6
1089,6
1090,7
1091,8
1092,7
1093,8
1094,8
1095,8
1096,6
1097,7
1098,6
1099,6
1100,6
1101,6
1102,6
1103,5
1104,6
1105,6
1106,6
1107,6
1108,5
1109,6
1110,4
1111,5
1112,4
1113,7
1114,6
1115,5
1116,6
1117,6
1118,7
1119,7
1120,7
1121,7
1122,6
1123,5
1124,5
1125,7
1126,5
1127,5
1128,5
1129,4
1130,4
1131,5
1132,3
1133,3
1134,0
1135,19
1136,19
1137,18
1138,18
1139,18
1140,18
1141,17
1142,17
1143,17
1144,17
1145,17
1146,17
1147,17
1148,17
1149,17
1150,16
1151,14
1152,13
1153,14
1154,15
1155,13
1156,14
1157,11
1158,11
1159,11
1160,11
1161,11
1162,11
1163,10
1164,12
1165,11
1166,10
1167,12
1168,11
1169,12
1170,12
1171,14
1172,14
1173,14
1174,12
1175,13
1176,13
1177,12
1178,12
1179,10
1180,12
1181,9
1182,9
1183,10
1184,10
1185,7
1186,8
1187,9
1188,6
1189,7
1190,7
1191,9
1192,9
1193,10
1194,8
1195,10
1196,8
1197,9
1198,7
1199,10
1200,4
1201,3
1202,6
1203,6
1204,8
1205,6
1206,7
1207,6
1208,6
1209,4
1210,5
1211,6
1212,7
1213,6
1214,7
1215,7
1216,6
1217,6
1218,5
1219,6
1220,6
1221,6
1222,6
1223,4
1224,7
1225,7
1226,7
1227,7
1228,7
1229,7
1230,8
1231,7
1232,6
1233,7
1234,8
1235,6
1236,7
1237,6
1238,6
1239,8
1240,7
1241,7
1242,6
1243,8
1244,6
1245,7
1246,7
1247,7
1248,6
1249,7
1250,7
1251,5
1252,5
1253,6
1254,7
1255,6
1256,7
1257,6
1258,6
1259,6
1260,7
1261,6
1262,7
1263,5
1264,4
1265,6
1266,7
1267,7
1268,7
1269,8
1270,7
1271,6
1272,5
1273,5
1274,7
1275,6
1276,4
1277,5
1278,6
1279,7
1280,5
1281,5
1282,6
1283,5
1284,6
1285,6
1286,8
1287,6
1288,7
1289,8
1290,6
1291,7
1292,7
1293,6
1294,6
1295,7
1296,7
1297,7
1298,8
1299,8
1300,9
1301,9
1302,9
1303,8
1304,8
1305,9
1306,9
1307,10
1308,9
1309,8
1310,0
1311,1
1312,1
1313,1
1314,1
1315,1
1316,1
1317,1
1318,1
1319,1
1320,1
1321,1
1322,1
1323,1
1324,1
1325,1
1326,1
1327,1
1328,1
1329,2
1330,2
1331,1
1332,1
1333,2
1334,3
1335,3
1336,3
1337,3
1338,1
1339,2
1340,0
1341,1
1342,1
1343,2
1344,3
1345,2
1346,2
1347,4
1348,4
1349,5
1350,5
1351,5
1352,5
1353,4
1354,3
1355,3
1356,3
1357,3
1358,4
1359,3
1360,3
1361,3
1362,3
1363,3
1364,3
1365,3
1366,3
1367,2
1368,3
1369,3
1370,4
1371,4
1372,4
1373,4
1374,4
1375,4
1376,4
1377,4
1378,4
1379,4
1380,4
1381,4
1382,4
1383,4
1384,4
1385,5
1386,5
1387,4
1388,5
1389,5
1390,5
1391,5
1392,5
1393,4
1394,4
1395,4
1396,4
1397,4
1398,4
1399,4
1400,4
1401,4
1402,4
1403,4
1404,4
1405,4
1406,4
1407,4
1408,4
1409,3
1410,4
1411,4
1412,4
1413,5
1414,5
1415,4
1416,4
1417,4
1418,4
1419,5
1420,4
1421,4
1422,4
1423,4
1424,3
1425,4
1426,4
1427,4
1428,4
1429,4
1430,4
1431,4
1432,4
1433,4
1434,4
1435,4
1436,4
1437,4
1438,4
1439,4
1440,4
1441,5
1442,5
1443,4
1444,5
1445,5
1446,5
1447,5
1448,2
1449,3
1450,3
1451,4
1452,5
1453,5
1454,5
1455,5
1456,6
1457,4
1458,6
1459,6
1460,5
1461,5
1462,6
1463,6
1464,5
1465,6
1466,6
1467,6
1468,4
1469,7
1470,7
1471,6
1472,5
1473,6
1474,5
1475,4
1476,5
1477,5
1478,5
1479,5
1480,5
1481,5
1482,5
1483,5
1484,4
1485,4
1486,4
1487,5
1488,5
1489,6
1490,7
1491,6
1492,6
1493,0
1494,8
1495,8
1496,8
1497,8
1498,9
1499,10
1500,9
1501,10
1502,10
1503,10
1504,10
1505,10
1506,10
1507,10
1508,10
1509,10
1510,10
1511,11
1512,10
1513,11
1514,11
1515,10
1516,11
1517,9
1518,9
1519,9
1520,10
1521,10
1522,10
1523,11
1524,11
1525,11
1526,11
1527,11
1528,11
1529,12
1530,11
1531,10
1532,11
1533,10
1534,12
1535,9
1536,11
1537,10
1538,12
1539,10
1540,10
1541,10
1542,10
1543,11
1544,10
1545,10
1546,11
1547,10
1548,11
1549,11
1550,11
1551,12
1552,11
1553,12
1554,10
1555,9
1556,12
1557,13
1558,13
1559,12
1560,12
1561,14
1562,14
1563,13
1564,13
1565,14
1566,13
1567,13
1568,14
1569,14
1570,2
1571,16
1572,15
1573,14
1574,15
1575,15
1576,14
1577,16
1578,15
1579,15
1580,15
1581,15
1582,15
1583,15
1584,15
1585,16
1586,15
1587,15
1588,15
1589,16
1590,17
1591,18
1592,20
1593,20
1594,19
1595,19
1596,18
1597,17
1598,19
1599,17
1600,17
1601,17
1602,17
1603,18
1604,18
1605,18
1606,19
1607,19
1608,18
1609,19
1610,18
1611,17
1612,17
1613,17
1614,16
1615,17
1616,17
1617,17
1618,17
1619,16
1620,15
1621,16
1622,15
1623,15
1624,15
1625,14
1626,15
1627,15
1628,16
1629,16
1630,17
1631,18
1632,18
1633,16
1634,18
1635,18
1636,18
1637,16
1638,17
1639,17
1640,17
1641,17
1642,16
1643,15
1644,16
1645,16
1646,16
1647,16
1648,16
1649,15
1650,15
1651,14
1652,14
1653,15
1654,15
1655,16
1656,16
1657,16
1658,15
1659,14
1660,14
1661,14
1662,12
1663,11
1664,12
1665,12
1666,14
1667,12
1668,14
1669,13
1670,14
1671,14
1672,14
1673,13
1674,14
1675,12
1676,14
1677,12
1678,10
1679,11
1680,10
1681,12
1682,12
1683,11
1684,11
1685,10
1686,10
1687,10
1688,11
1689,12
1690,10
1691,10
1692,10
1693,9
1694,9
1695,9
1696,9
1697,9
1698,8
1699,7
1700,8
1701,8
1702,8
1703,8
1704,8
1705,8
1706,8
1707,8
1708,7
1709,7
1710,6
1711,8
1712,9
1713,8
1714,9
1715,9
1716,9
1717,10
1718,10
1719,10
1720,10
1721,10
1722,10
1723,10
1724,11
1725,10
1726,11
1727,11
1728,10
1729,9
1730,9
1731,9
1732,9
1733,7
1734,9
1735,8
1736,7
1737,8
1738,9
1739,10
1740,9
1741,10
1742,9
1743,10
1744,11
1745,11
1746,11
1747,11
1748,11
1749,9
1750,10
1751,9
1752,9
1753,9
1754,10
1755,9
1756,10
1757,10
1758,9
1759,9
1760,9
1761,1
1762,14
1763,14
1764,15
1765,15
1766,17
1767,17
1768,16
1769,16
1770,16
1771,16
1772,17
1773,17
1774,17
1775,16
1776,16
1777,16
1778,16
1779,15
1780,15
1781,15
1782,16
1783,14
1784,15
1785,14
1786,14
1787,15
1788,13
1789,13
1790,13
1791,14
1792,14
1793,14
1794,13
1795,11
1796,10
1797,10
1798,10
1799,9
1800,9
1801,7
1802,9
1803,10
1804,10
1805,8
1806,6
1807,9
1808,6
1809,9
1810,9
1811,7
